iter	Logloss
0	0.6732706687
1	0.6565892282
2	0.6401963175
3	0.6250424739
4	0.611046017
5	0.5990581152
6	0.5906673162
7	0.5833580816
8	0.5740983696
9	0.565111809
10	0.5578915218
11	0.5513901933
12	0.5476733297
13	0.5419007615
14	0.5375008224
15	0.5320036025
16	0.5285337525
17	0.5243333958
18	0.5210144578
19	0.518580093
20	0.5160632026
21	0.5127906254
22	0.5105923458
23	0.506820052
24	0.5041305056
25	0.5020154839
26	0.5001239293
27	0.4979046943
28	0.4964011509
29	0.4938798666
30	0.4925459935
31	0.4905342275
32	0.4891234056
33	0.4872920692
34	0.4861378373
35	0.4849916044
36	0.4834847937
37	0.4821561031
38	0.4809248096
39	0.4798696084
40	0.4788272507
41	0.4769115862
42	0.4768780689
43	0.4763174581
44	0.4748468685
45	0.4737632762
46	0.4731221113
47	0.4716422552
48	0.4705085561
49	0.4695926344
50	0.4683890842
51	0.4676448891
52	0.4663515747
53	0.4657427441
54	0.4648025154
55	0.4636146253
56	0.4626086296
57	0.4619568744
58	0.461058838
59	0.4605287306
60	0.4603862683
61	0.4595274386
62	0.4587598941
63	0.4574505252
64	0.4568680295
65	0.4559406726
66	0.4551914639
67	0.4541119838
68	0.4534969567
69	0.4529425423
70	0.4523308388
71	0.4514989637
72	0.4507115342
73	0.4505763386
74	0.4501379389
75	0.4492797852
76	0.4484088723
77	0.4475991918
78	0.4469034699
79	0.4462761626
80	0.4456152254
81	0.4447215546
82	0.444208403
83	0.4436106979
84	0.4428877397
85	0.4427282371
86	0.4418903909
87	0.4412485782
88	0.4405193672
89	0.4397091516
90	0.438755854
91	0.43832489
92	0.4377990638
93	0.4372754627
94	0.4359951327
95	0.4353124234
96	0.4340705115
97	0.4334025046
98	0.4328771573
99	0.4324997927
100	0.4316607353
101	0.4306591053
102	0.4302390415
103	0.4296759239
104	0.4290426454
105	0.4280640268
106	0.4270199229
107	0.4267058749
108	0.4258318075
109	0.4252606908
110	0.4243772442
111	0.4239608701
112	0.4233641508
113	0.4226961721
114	0.4219444004
115	0.4209585432
116	0.4198057477
117	0.4194453952
118	0.4187138183
119	0.4179247833
120	0.4169231814
121	0.4165135953
122	0.4159165943
123	0.4155533407
124	0.4151127441
125	0.4148126663
126	0.4140976508
127	0.4134811028
128	0.4128444726
129	0.4122200945
130	0.4115866189
131	0.4110504277
132	0.4102695326
133	0.4096862483
134	0.4092710008
135	0.4089553192
136	0.4084892326
137	0.4076715248
138	0.406511716
139	0.40566235
140	0.4049501793
141	0.4045108783
142	0.4040081762
143	0.4033276356
144	0.4026247877
145	0.4017791678
146	0.4011716046
147	0.4005947703
148	0.3999974313
149	0.3987665885
150	0.3980296319
151	0.3972498635
152	0.3965344818
153	0.3960203726
154	0.3954971095
155	0.3946675158
156	0.3939530074
157	0.3930130603
158	0.3922996222
159	0.3914227946
160	0.3909887887
161	0.3904019837
162	0.3898208118
163	0.3892332463
164	0.3884076804
165	0.3879160474
166	0.387345832
167	0.3867148068
168	0.3860655302
169	0.3854302801
170	0.3848040712
171	0.3841685677
172	0.3839885886
173	0.3834164861
174	0.3826971613
175	0.3819002117
176	0.3809909653
177	0.3807748778
178	0.3802448549
179	0.3798320015
180	0.3788879423
181	0.3784777364
182	0.3777895066
183	0.377216193
184	0.3762428414
185	0.3755949167
186	0.3749976059
187	0.3743702704
188	0.3739098732
189	0.3732325436
190	0.3725799997
191	0.372237617
192	0.3716793157
193	0.3711252393
194	0.3708954632
195	0.3702317657
196	0.3695872773
197	0.3690982637
198	0.3681594433
199	0.3672950368
200	0.3667968975
201	0.3663047857
202	0.3655025128
203	0.3648432092
204	0.3641922708
205	0.3634987458
206	0.3628788743
207	0.3624627255
208	0.3618016756
209	0.361429916
210	0.3607776538
211	0.3601241242
212	0.3596654169
213	0.3584623737
214	0.3576163876
215	0.3571050104
216	0.3566182501
217	0.3557044691
218	0.3550847665
219	0.3547349198
220	0.353818801
221	0.3532700479
222	0.352674258
223	0.3522377173
224	0.3513184157
225	0.3509559226
226	0.3504504603
227	0.3498647538
228	0.3492756955
229	0.3488054403
230	0.3484512561
231	0.3481586141
232	0.3476226483
233	0.3473333861
234	0.3467978709
235	0.3466946998
236	0.3461384547
237	0.3456240356
238	0.3451157848
239	0.3445548923
240	0.3438316806
241	0.3434801159
242	0.3432746187
243	0.3426937285
244	0.3425077783
245	0.3415634655
246	0.3406074077
247	0.340024912
248	0.3393623975
249	0.3390790784
250	0.3388002657
251	0.3383410515
252	0.3378909348
253	0.3375901529
254	0.3372548679
255	0.3366712738
256	0.336336693
257	0.3358477076
258	0.3353529483
259	0.3348207285
260	0.3340120619
261	0.3335207106
262	0.333265698
263	0.3329977855
264	0.332198132
265	0.3315720076
266	0.3310670523
267	0.330720163
268	0.3301331609
269	0.3298083536
270	0.3293934159
