iter	Passed	Remaining
0	6	3138
1	8	2165
2	10	1810
3	13	1636
4	15	1521
5	17	1444
6	19	1388
7	21	1343
8	24	1319
9	26	1293
10	28	1269
11	30	1251
12	32	1235
13	35	1219
14	37	1205
15	39	1192
16	42	1206
17	44	1194
18	46	1185
19	48	1175
20	51	1166
21	53	1160
22	55	1152
23	57	1144
24	59	1138
25	62	1131
26	64	1124
27	68	1151
28	70	1149
29	72	1143
30	75	1148
31	78	1141
32	80	1134
33	82	1129
34	85	1132
35	90	1165
36	94	1186
37	97	1180
38	99	1174
39	101	1169
40	104	1168
41	106	1162
42	107	1143
43	110	1148
44	113	1143
45	115	1136
46	117	1131
47	119	1125
48	121	1119
49	124	1120
50	127	1118
51	129	1113
52	131	1108
53	133	1103
54	135	1098
55	138	1094
56	140	1089
57	143	1090
58	147	1105
59	151	1112
60	153	1106
61	155	1101
62	158	1096
63	160	1091
64	162	1086
65	164	1081
66	166	1077
67	168	1072
68	170	1068
69	173	1067
70	175	1062
71	178	1059
72	180	1054
73	182	1048
74	185	1049
75	188	1050
76	190	1046
77	192	1041
78	194	1037
79	196	1033
80	199	1029
81	201	1025
82	203	1022
83	206	1020
84	208	1017
85	210	1013
86	212	1009
87	214	1006
88	217	1002
89	221	1006
90	224	1006
91	227	1008
92	230	1008
93	233	1006
94	236	1007
95	238	1004
96	240	1000
97	244	1001
98	246	1000
99	249	998
100	251	995
101	254	993
102	256	989
103	258	985
104	261	982
105	263	978
106	265	975
107	267	971
108	270	971
109	272	967
110	275	964
111	277	960
112	279	957
113	281	954
114	284	951
115	286	947
116	288	944
117	290	940
118	292	937
119	294	933
120	297	930
121	299	927
122	301	924
123	303	920
124	305	917
125	308	914
126	310	911
127	312	908
128	314	905
129	317	902
130	319	899
131	321	896
132	326	900
133	328	898
134	332	898
135	335	897
136	338	895
137	340	894
138	345	896
139	349	898
140	354	902
141	359	905
142	366	914
143	370	915
144	376	921
145	379	921
146	383	920
147	387	920
148	390	920
149	395	922
150	399	922
151	403	922
152	407	924
153	411	924
154	414	923
155	417	920
156	419	916
157	421	913
158	424	909
159	426	905
160	428	902
161	430	898
162	433	896
163	435	892
164	437	889
165	440	885
166	442	881
167	444	878
168	446	874
169	449	872
170	452	869
171	454	866
172	456	862
173	458	859
174	460	855
175	462	852
176	464	848
177	467	845
178	469	842
179	472	840
180	474	836
181	477	833
182	479	830
183	483	830
184	485	827
185	487	823
186	490	820
187	492	817
188	495	814
189	501	818
190	503	815
191	508	816
192	512	814
193	514	811
194	516	808
195	518	804
196	521	802
197	525	801
198	527	798
199	530	795
200	532	791
201	534	788
202	536	785
203	539	783
204	541	779
205	544	776
206	546	773
207	549	770
208	552	769
209	555	766
210	557	763
211	559	760
212	562	758
213	565	755
214	567	751
215	569	748
216	571	745
217	573	742
218	575	739
219	578	735
220	580	732
221	582	729
222	585	726
223	587	723
224	589	721
225	592	717
226	594	714
227	596	711
228	598	708
229	600	705
230	602	702
231	605	699
232	607	695
233	609	692
234	611	689
235	613	686
236	616	683
237	618	680
238	620	677
239	622	674
240	625	671
241	627	668
242	629	665
243	631	662
244	633	659
245	636	656
246	638	653
247	640	650
248	642	647
249	644	644
250	646	641
251	649	638
252	652	636
253	654	633
254	656	631
255	659	628
256	661	625
257	663	622
258	665	619
259	667	616
260	670	613
261	672	610
262	674	607
263	677	605
264	679	602
265	681	599
266	683	596
267	685	593
268	688	590
269	690	588
270	692	585
271	696	583
272	698	581
273	701	578
274	704	576
275	706	573
276	708	570
277	711	567
278	713	565
279	715	562
280	717	559
281	720	556
282	722	554
283	724	551
284	727	548
285	729	546
286	731	543
287	734	540
288	736	537
289	738	534
290	740	531
291	742	528
292	744	526
293	746	523
294	749	520
295	751	517
296	753	514
297	755	512
298	757	509
299	760	506
300	762	504
301	764	501
302	766	498
303	768	495
304	771	492
305	773	490
306	775	487
307	777	484
308	779	481
309	781	479
310	784	476
311	786	473
312	788	471
313	790	468
314	792	465
315	794	462
316	796	459
317	798	457
318	801	454
319	804	452
320	806	449
321	808	446
322	810	444
323	812	441
324	814	438
325	816	436
326	819	433
327	821	430
328	823	428
329	826	425
330	828	422
331	830	420
332	833	418
333	835	415
334	837	412
335	840	410
336	842	407
337	844	404
338	847	402
339	849	399
340	854	398
341	862	398
342	879	402
343	887	402
344	897	403
345	904	402
346	908	400
347	910	397
348	914	395
349	916	392
350	918	389
351	920	387
352	923	384
353	925	381
354	927	378
355	929	375
356	931	373
357	935	370
358	937	368
359	940	365
360	942	362
361	944	360
